"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.31949,-0.0050672,0,1,0.14434,0.5,0.15002,0.5
-0.32036,-0.0049418,0,1,0.14533,0.5,0.15101,0.5
-0.32123,-0.0048164,0,1,0.14632,0.5,0.152,0.5
-0.32209,-0.004691,0,1,0.14731,0.5,0.15299,0.5
-0.32296,-0.0045657,0,1,0.14829,0.5,0.15398,0.5
-0.32383,-0.0044403,0,1,0.14928,0.5,0.15497,0.5
-0.3247,-0.0043149,0,1,0.15027,0.5,0.15596,0.5
-0.32556,-0.0041895,0,1,0.15126,0.5,0.15695,0.5
-0.32584,-0.0040463,0,1,0.15225,0.5,0.15793,0.5
-0.32612,-0.0039029,0,1,0.15324,0.5,0.15892,0.5
-0.32639,-0.0037594,0,1,0.15423,0.5,0.15991,0.5
-0.32666,-0.0036159,0,1,0.15521,0.5,0.1609,0.5
-0.32693,-0.0034725,0,1,0.1562,0.5,0.16189,0.5
-0.32721,-0.003329,0,1,0.15719,0.5,0.16288,0.5
-0.32748,-0.0031856,0,1,0.15818,0.5,0.16387,0.5
-0.32775,-0.0030421,0,1,0.15917,0.5,0.16485,0.5
-0.32802,-0.0028987,0,1,0.16016,0.5,0.16584,0.5
-0.3283,-0.0027552,0,1,0.16115,0.5,0.16683,0.5
-0.32857,-0.0026117,0,1,0.16214,0.5,0.16782,0.5
-0.32884,-0.0024683,0,1,0.16312,0.5,0.16881,0.5
-0.32911,-0.0023248,0,1,0.16411,0.5,0.1698,0.5
-0.32939,-0.0021814,0,1,0.1651,0.5,0.17079,0.5
-0.32966,-0.0020379,0,1,0.16609,0.5,0.17177,0.5
-0.32993,-0.0018945,0,1,0.16708,0.5,0.17276,0.5
-0.3302,-0.001751,0,1,0.16807,0.5,0.17375,0.5
-0.33047,-0.0016075,0,1,0.16906,0.5,0.17474,0.5
-0.33075,-0.0014641,0,1,0.17004,0.5,0.17573,0.5
-0.33086,-0.0013228,0,1,0.17103,0.5,0.17672,0.5
-0.33056,-0.0011873,0,1,0.17202,0.5,0.17771,0.5
-0.33026,-0.0010518,0,1,0.17301,0.5,0.17869,0.5
-0.32996,-0.00091632,0,1,0.174,0.5,0.17968,0.5
-0.32965,-0.00078082,0,1,0.17499,0.5,0.18067,0.5
-0.32935,-0.00064531,0,1,0.17598,0.5,0.18166,0.5
-0.32905,-0.00050981,0,1,0.17696,0.5,0.18265,0.5
-0.32875,-0.00037431,0,1,0.17795,0.5,0.18364,0.5
-0.32845,-0.0002388,0,1,0.17894,0.5,0.18463,0.5
-0.32815,-0.0001033,0,1,0.17993,0.5,0.18562,0.5
-0.32784,3.2201e-05,0,1,0.18092,0.5,0.1866,0.5
-0.32754,0.0001677,0,1,0.18191,0.5,0.18759,0.5
-0.32724,0.00030321,0,1,0.1829,0.5,0.18858,0.5
-0.32694,0.00043871,0,1,0.18389,0.5,0.18957,0.5
-0.32664,0.00057421,0,1,0.18487,0.5,0.19056,0.5
-0.32634,0.00070972,0,1,0.18586,0.5,0.19155,0.5
-0.32603,0.00084522,0,1,0.18685,0.5,0.19254,0.5
